airport,score
14842,2.745
13891,10.425
13076,1.705
11003,5.885
13433,2.269
12441,6.473
10257,7.832
12389,2.745
14489,3.020
11612,6.473
12523,1.875
11308,1.705
11122,2.496
14193,5.885
14457,7.120
10685,3.322
12896,8.616
10785,7.120
13377,4.019
10561,3.654
12391,3.322
11111,3.020
12343,1.409
12511,1.164
11630,1.058
13127,1.000
13184,4.421
14711,1.164
11315,1.000
11013,1.550
14150,1.164
11537,2.063
14814,10.425
14006,1.281
12335,1.409
12156,4.019
14952,3.654
10754,1.000
11637,4.863
10170,1.000
14256,1.164
10135,5.885
11865,2.496
14698,4.019
13541,2.063
10918,1.000
11097,1.409
12884,2.269
14543,1.550
11337,3.322
AKN,1.164
DLG,1.164
GST,1.164
WYS,1.058
14831,10.425
13296,7.120
13487,20.315
12945,4.421
HYA,3.020
13204,20.315
13485,8.616
14747,20.315
13930,29.744
11433,24.581
10397,27.040
13232,20.315
14730,15.263
15304,18.468
14843,13.876
12191,22.347
11042,15.263
11252,1.281
14027,11.467
11057,22.347
12889,24.581
11292,29.744
11259,22.347
10627,5.350
13198,15.263
12173,16.789
14057,11.467
10713,9.477
10408,5.885
12951,4.863
13577,10.425
14109,2.745
14098,1.875
10165,1.409
12129,1.409
15249,3.322
13873,1.058
10299,4.421
15356,9.477
14122,13.876
10529,9.477
14492,16.789
11109,8.616
10728,1.705
10800,7.120
10185,4.863
10279,5.885
10849,4.863
10434,4.421
11986,9.477
14321,7.832
12217,7.120
11823,4.019
15919,11.467
11921,4.863
13158,7.832
12003,2.496
14828,1.000
10792,7.832
10739,1.164
10158,2.496
13256,2.745
12819,1.875
10141,1.281
14986,5.885
13486,2.269
15323,2.063
12519,1.164
14674,3.020
15624,4.863
13264,2.745
14570,9.477
14689,5.350
12448,3.322
10926,1.058
15295,1.164
10732,7.120
14113,1.000
14574,3.654
10747,3.654
11471,2.269
12094,2.063
13933,1.550
11867,1.409
11203,1.409
10779,1.000
10268,1.000
11413,5.885
12280,2.745
11905,1.875
12265,1.058
11067,2.063
10136,2.745
15607,2.269
14588,3.322
10781,6.473
12206,3.020
15389,1.000
11140,5.350
13360,1.550
11617,2.063
13795,3.322
12016,1.000
15401,2.496
12255,1.409
14025,3.020
12007,1.550
13459,3.654
12177,1.281
15991,1.000
11695,2.269
14222,1.705
11953,3.322
14520,1.281
10155,1.164
14709,1.000
11884,4.863
11447,4.421
13241,1.705
14960,1.550
10620,2.063
14783,6.473
11977, 4.421
15070, 3.020
15411, 2.745
11980, 1.281
10990, 4.019
13964, 5.885
11587, 1.164
12402, 1.409
13502, 1.000
13290, 2.269
10208, 1.550
12888, 1.550
11973, 3.654
13476,3.322
11982,3.322
11150,2.269
11641,1.705
11898,1.281
15497,1.164
16218,1.164
10631,1.000
11525,1.000
11577,1.000
11503,1.000
10157,2.063
15048,1.281
14905,1.875
10731,2.496
14487,1.875
11624,1.875
12891,1.409
10146,2.063
11274,1.164
10551,1.000
13344,2.063
10333,1.281
13970,1.058
15041,1.000
11721,5.885
14794,3.654
